CBSA Code,Metro Area,2016,2017,2018
19500,"Decatur, IL",93.3,94.4,90.8
49660,"Youngstown-Warren-Boardman, OH-PA",84.4,86.1,94
19060,"Cumberland, MD-WV",88.8,90.7,100.5
21300,"Elmira, NY",116.1,110.4,111.2
21500,"Erie, PA",114.9,115.7,118.7
48660,"Wichita Falls, TX",111.8,114.9,120
13780,"Binghamton, NY",108.4,109.6,121.1
45780,"Toledo, OH",117,118.2,123.4
37900,"Peoria, IL",118,122.6,124.3
40420,"Rockford, IL",107.1,117.8,124.5
47940,"Waterloo-Cedar Falls, IA",122.2,123.9,127
19340,"Davenport-Moline-Rock Island, IA-IL",123.6,126.3,131
43780,"South Bend-Mishawaka, IN-MI",118,124.9,131.5
15940,"Canton-Massillon, OH",123.1,129.8,131.9
45820,"Topeka, KS",124,128.6,132.1
44100,"Springfield, IL",135,132.4,133.5
16620,"Charleston, WV",137,135.7,136.6
22180,"Fayetteville, NC",126.9,130.8,137.1
16020,"Cape Girardeau, MO-IL",140.3,143,138.1
22540,"Fond du Lac, WI",125.5,131.9,138.6
45060,"Syracuse, NY",129.1,130.5,138.7
25060,"Gulfport-Biloxi-Pascagoulia, MS",126.9,133.5,139.3
28100,"Kankakee, IL",125.3,125.6,139.3
33860,"Montgomery, AL",131.2,137.7,140.9
48620,"Wichita, KS",129.4,132.9,142
19460,"Decatur, AL",129.5,128.5,142.4
44180,"Springfield, MO",130.3,134.3,143.1
22500,"Florence, SC",136.8,137.9,143.2
23060,"Fort Wayne, IN",125.6,132.9,143.3
33660,"Mobile, AL",132.6,136.8,145.2
10420,"Akron, OH",125.6,135.1,145.6
30780,"Little Rock-North Little Rock-Conway, AR",137.8,141.7,146.4
40380,"Rochester, NY",133.4,137.7,146.9
19380,"Dayton, OH",131.6,138.7,148.4
29620,"Lansing-East Lansing, MI",135.5,139.7,149.3
16580,"Champaign-Urbana, IL",143.5,148.8,150.9
36780,"Oshkosh-Neenah, WI",131.2,141.8,151
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",132.5,142.7,152.8
17460,"Cleveland-Elyria, OH",132.2,140.4,153.3
13140,"Beaumont-Port Arthur, TX",144.3,150.3,154.6
21340,"El Paso, TX",148.5,151.5,155.8
11100,"Amarillo, TX",154.6,157.7,158.6
16300,"Cedar Rapids, IA",151,152.6,159.2
36420,"Oklahoma City, OK",150.8,154.3,159.5
36100,"Ocala, FL",128,147,159.9
14010,"Bloomington, IL",152.4,156.2,162.7
39740,"Reading, PA",156.2,164.6,163.6
24660,"Greensboro-High Point, NC",151.6,157.2,164.1
46140,"Tulsa, OK",151,160.2,165.3
49180,"Winston-Salem, NC",149,155,165.4
10180,"Abilene, TX",157.5,161.2,166.8
43340,"Shreveport-Bossier City, LA",166.6,166.7,168.4
24020,"Glens Falls, NY",171,164.6,169.5
23844,"Gary-Hammond, IN",149,160.5,170.1
30460,"Lexington-Fayette, KY",155.3,162.7,171.2
14540,"Bowling Green, KY",156,165.3,171.3
17900,"Columbia, SC",161.8,162.3,171.6
43900,"Spartanburg, SC",148,158.2,172.2
