PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",15-0000,Computer and Mathematical Occupations,major,"141,030",2.3,126.011,4.16,61.08,127040,1.3,32.32,44.19,59.36,75.94,92.45,"67,220","91,910","123,470","157,940","192,300"
CA,41860,"San Francisco-Oakland-Hayward, CA",15-0000,Computer and Mathematical Occupations,major,"146,420",2.7,60.525,2,58.04,120730,1.9,31.04,41.69,56.18,71.77,86.49,"64,570","86,710","116,860","149,270","179,900"
WA,42660,"Seattle-Tacoma-Bellevue, WA",15-0000,Computer and Mathematical Occupations,major,"139,440",9,70.269,2.32,54.69,113750,6,27.98,39.3,54.15,68.71,80.83,"58,200","81,730","112,640","142,920","168,140"
DC,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",15-0000,Computer and Mathematical Occupations,major,"232,290",1.7,74.093,2.45,51.81,107760,0.7,28.2,37.27,50.96,64.66,77.77,"58,660","77,520","106,000","134,500","161,750"
NH,76900,"Portsmouth, NH-ME",15-0000,Computer and Mathematical Occupations,major,"4,050",3.6,42.949,1.42,50.15,104310,4.4,26.89,35.39,47.64,60.89,74.6,"55,930","73,620","99,090","126,640","155,160"
NY,35620,"New York-Newark-Jersey City, NY-NJ-PA",15-0000,Computer and Mathematical Occupations,major,"305,470",1.4,32.16,1.06,49.98,103960,0.8,24.89,33.95,47.15,63.1,78.9,"51,760","70,610","98,070","131,260","164,110"
MD,12580,"Baltimore-Columbia-Towson, MD",15-0000,Computer and Mathematical Occupations,major,"64,790",2.3,47.258,1.56,48.8,101510,1.4,23.95,32.9,46.94,61.29,77.5,"49,810","68,430","97,630","127,480","161,200"
CO,14500,"Boulder, CO",15-0000,Computer and Mathematical Occupations,major,"14,140",6.3,77.631,2.56,48.67,101220,1.5,25.23,33.88,46.79,62.28,76.23,"52,480","70,470","97,330","129,550","158,560"
MD,15680,"California-Lexington Park, MD",15-0000,Computer and Mathematical Occupations,major,"5,810",22.3,124.482,4.11,48.59,101060,3.3,26.88,35.69,48.35,60.61,72.27,"55,920","74,230","100,580","126,060","150,320"
CT,71950,"Bridgeport-Stamford-Norwalk, CT",15-0000,Computer and Mathematical Occupations,major,"13,160",12,31.632,1.04,48.48,100830,2.2,25.54,32.95,45.62,60.37,76.51,"53,120","68,530","94,900","125,580","159,150"
MA,71650,"Boston-Cambridge-Nashua, MA-NH",15-0000,Computer and Mathematical Occupations,major,"132,130",1.7,47.893,1.58,48.23,100310,0.7,26.31,34.39,46.38,60.25,74.31,"54,730","71,530","96,460","125,320","154,570"
CA,41740,"San Diego-Carlsbad, CA",15-0000,Computer and Mathematical Occupations,major,"53,720",2.7,36.711,1.21,48.03,99890,1.4,25.28,34.03,46.75,60.2,74.44,"52,580","70,790","97,230","125,210","154,840"
CO,19740,"Denver-Aurora-Lakewood, CO",15-0000,Computer and Mathematical Occupations,major,"77,050",2.4,52.125,1.72,47.34,98460,1.2,25.37,34.12,45.9,58.67,72.03,"52,770","70,960","95,470","122,030","149,830"
CA,42200,"Santa Maria-Santa Barbara, CA",15-0000,Computer and Mathematical Occupations,major,"5,300",8.4,28.321,0.93,46.84,97430,2.2,22.5,32.07,43.98,60.14,75.64,"46,790","66,710","91,470","125,090","157,340"
AL,26620,"Huntsville, AL",15-0000,Computer and Mathematical Occupations,major,"15,320",3.2,67.702,2.23,46.8,97340,1.6,23.31,32.58,44.97,59.15,73.8,"48,490","67,780","93,540","123,040","153,500"
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-0000,Computer and Mathematical Occupations,major,"171,700",2.5,28.062,0.93,46.15,96000,0.9,22.54,31.04,44.32,59.43,74.01,"46,890","64,560","92,180","123,620","153,930"
CO,17820,"Colorado Springs, CO",15-0000,Computer and Mathematical Occupations,major,"14,930",5.1,53.13,1.75,46,95690,1.5,24.18,32.8,45.01,57.93,71.61,"50,300","68,220","93,610","120,490","148,960"
TX,26420,"Houston-The Woodlands-Sugar Land, TX",15-0000,Computer and Mathematical Occupations,major,"80,880",4.2,27.12,0.9,45.92,95520,1.4,22.55,31.22,43.41,57.89,73.07,"46,910","64,940","90,300","120,420","151,980"
CA,41500,"Salinas, CA",15-0000,Computer and Mathematical Occupations,major,"2,070",7.5,11.543,0.38,45.83,95320,2.7,24.96,31.82,44.47,58.89,71.37,"51,910","66,190","92,510","122,490","148,460"
NJ,45940,"Trenton, NJ",15-0000,Computer and Mathematical Occupations,major,"11,080",3.9,47.893,1.58,45.28,94190,2.3,25.38,32.45,42.76,55.27,71.04,"52,800","67,490","88,930","114,960","147,760"
TX,19100,"Dallas-Fort Worth-Arlington, TX",15-0000,Computer and Mathematical Occupations,major,"150,970",2.6,42.31,1.4,45.11,93820,1.2,22.26,31.43,43.86,57.59,70.84,"46,300","65,370","91,230","119,790","147,340"
CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",15-0000,Computer and Mathematical Occupations,major,"6,770",5.7,21.566,0.71,45.07,93740,3.3,20.95,28.98,42.54,57.67,74.18,"43,590","60,290","88,480","119,950","154,290"
IN,29020,"Kokomo, IN",15-0000,Computer and Mathematical Occupations,major,590,3,14.953,0.49,44.54,92630,5.1,22.6,34.47,45.59,56.25,62.65,"47,010","71,700","94,820","117,000","130,300"
CT,73450,"Hartford-West Hartford-East Hartford, CT",15-0000,Computer and Mathematical Occupations,major,"21,880",3.7,37.418,1.24,44.49,92540,1.6,25.68,33.27,43.38,54.58,64.22,"53,410","69,210","90,230","113,520","133,580"
VA,16820,"Charlottesville, VA",15-0000,Computer and Mathematical Occupations,major,"4,120",10.7,36.429,1.2,44.46,92470,3.4,23.2,30.93,41.71,55.53,71.27,"48,260","64,330","86,750","115,500","148,240"
