,year,subdist_no,sale_price_count,sale_price_mean,sale_price_median,sf_mean,price_sf_mean,min_income
0,2009,10a,92,351929,350000,1366,287,47398
1,2009,10b,69,541515,545000,1360,420,73806
2,2009,10c,98,509623,520000,1208,440,70420
3,2009,10d,46,564891,590000,1380,438,79900
4,2009,10e,80,460139,456000,1390,355,61753
5,2009,10f,79,591840,590000,1443,438,79900
6,2009,10g,52,473082,483500,1283,390,65477
7,2009,10h,37,588602,580000,1355,467,78546
8,2009,10j,2,272500,272500,1212,223,36903
9,2009,10k,14,409150,413500,1449,310,55998
10,2009,10m,1,505000,505000,1204,419,68389
11,2009,10n,5,492160,500800,1434,349,67820
12,2009,1a,38,951921,846000,1951,515,114569
13,2009,1b,19,1305710,1225000,2089,665,165895
14,2009,1c,6,2320833,2182500,3039,743,295564
15,2009,1d,18,1909800,1690000,2131,919,228867
16,2009,1e,40,810562,775000,1640,519,104954
17,2009,1f,10,2935500,2146000,2918,998,290621
18,2009,1g,9,1288888,1198000,2044,632,162238
19,2009,2a,34,932524,848500,1785,541,114907
20,2009,2b,70,657009,649000,1297,532,87890
21,2009,2c,60,685240,662500,1397,518,89718
22,2009,2d,86,736466,732500,1447,532,99198
23,2009,2e,79,780137,760000,1610,503,102922
24,2009,2f,37,969839,925000,1850,555,125267
25,2009,2g,20,823919,857500,1640,513,116126
26,2009,3a,29,884729,850000,1678,547,115111
27,2009,3b,22,584901,580000,1183,507,78546
28,2009,3c,2,977500,977500,2471,464,132377
29,2009,3e,11,988727,992000,1868,555,134341
30,2009,3f,5,1030000,1030000,2135,484,139487
31,2009,3g,40,496920,507500,1151,445,68728
32,2009,3h,34,491717,503250,1213,430,68152
33,2009,3j,30,467573,465000,1300,402,62972
34,2009,4a,4,1016250,1042500,2371,449,141180
35,2009,4b,7,1076857,1050000,2127,512,142196
36,2009,4c,19,1270368,1225000,2206,597,165895
37,2009,4d,16,776406,774000,1535,514,104818
38,2009,4e,12,1090458,1067000,2038,569,144498
39,2009,4f,18,761522,749500,1429,555,101500
40,2009,4g,13,1788099,1750000,3090,592,236993
41,2009,4h,49,812530,810000,1523,561,109694
42,2009,4j,9,952777,1000000,1940,524,135424
43,2009,4k,6,1215400,984000,2444,490,133257
44,2009,4m,11,1294454,1200000,2615,519,162509
45,2009,4n,11,928000,955000,2204,443,129330
46,2009,4p,10,924600,859250,1963,520,116363
47,2009,4r,14,824500,818500,1616,525,110845
48,2009,4s,47,668175,645000,1262,556,87348
49,2009,4t,21,1102990,965000,1995,582,130684
50,2009,5a,55,972086,862500,1514,669,116803
51,2009,5b,6,1488783,1530625,2758,573,207284
52,2009,5c,121,1262087,1117500,1783,737,151337
53,2009,5d,2,1687500,1687500,1652,1090,228529
54,2009,5e,18,1594222,1307500,2023,833,177067
55,2009,5f,9,1568222,1410000,2179,759,190948
56,2009,5g,17,1223264,1240000,1771,739,167926
57,2009,5h,6,1831796,1732500,2310,846,234623
58,2009,5j,5,1458800,1500000,2334,656,203137
59,2009,5k,46,1445395,1357500,1909,782,183839
60,2009,5m,2,1017500,1017500,1687,623,137794
61,2009,6a,2,1365000,1365000,2457,558,184854
62,2009,6b,14,1129785,1047500,1850,650,141857
63,2009,6c,14,1411428,1387500,1727,817,187901
64,2009,6d,5,840600,746000,1913,464,101026
65,2009,6e,3,2650000,2300000,5655,634,311476
66,2009,6f,3,1608333,1575000,3063,537,213294
67,2009,7a,18,2154833,2042500,2149,1095,276605
68,2009,7b,44,3989750,3047500,3507,1316,412706
69,2009,7c,21,4620800,4800000,3018,1585,650038
70,2009,7d,20,2517031,2125000,2685,962,287777
71,2009,8d,2,2597500,2597500,1673,1466,351765
72,2009,8e,9,1978888,1850000,2162,980,250535
